FragmentID,SMILES,Unnamed: 2,MW,logP,HBD,HBA,TPSA,RotBonds,Solubility_mg_per_mL
Z1546616193,O=C1NC=NC2=C1N=CN2[C@H]3CC[C@@H](CO)O3,,236.23099999999997,-0.21050000000000008,2,6,93.03,2,0.19730572568899918
Z1501480421,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O,,359.35400000000004,0.7602,3,8,122.91000000000001,6,1.069403702507431e-05
Z107296178,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC3CCCC=4C=CC=CC43,,387.4110000000002,1.6518999999999997,1,6,82.33,4,8.270785310654352e-05
Z666561842,N#CC1=CN(CCCN2CCC=3C=CC=CC32)C(=O)NC1=O,,296.33,0.8610799999999998,1,5,81.88999999999999,4,0.0007357143399133348
Z2755767126,CN1C=C(CNC(=O)CC2CCCCCC2)C(=O)NC1=O,,293.36699999999996,1.0503,2,4,83.96000000000001,4,0.000653261193079046
Z2760962371,CC1CN(CCS(=O)C1)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,,379.4860000000002,0.33699999999999963,2,8,104.37,4,0.0005246293201809085
Z94557627,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N3N=C(CC3C4=CC=CO4)C=5C=CC(Cl)=CC5,,486.88700000000017,3.0824000000000016,0,8,99.03999999999999,5,3.913603096113456e-07
Z94556468,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC3=CC=CC=C3OC=4C=CC=CC4,,425.4160000000001,2.889100000000001,1,7,91.56,6,2.557064128384787e-07
Z94557849,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC3=CC=CC=C3SC=4C=CC(Cl)=CC4,,475.9290000000001,3.9014000000000024,1,7,82.33,6,3.6384831554246474e-08
Z94560110,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC=3C=CC=4CCCC4C3,,373.3840000000002,1.5855,1,6,82.33,4,0.00010723335746533437
Z107296274,O=C1C(F)=CN(C(=O)N1CC2=NN=C(O2)C=3C=CC(Cl)=CC3)C4CCCO4,,392.7740000000001,2.2097999999999995,0,8,92.15,4,2.5934025383446436e-05
Z94556873,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC=3C=CC(=CC3)S(=O)(=O)N4CCCC4,,466.49100000000027,0.8813,1,8,119.71,6,1.945897989385709e-06
Z94556768,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N3CCC=4C=CC=CC43,,359.3570000000001,1.0473999999999999,0,6,73.53999999999999,3,0.001466934453993363
Z94558674,COC=1C=CC=CC1NC(=O)C=2C=CC(=CC2)NC(=O)CN3C(=O)C(F)=CN(C3=O)C4CCCO4,,482.46800000000036,2.3576999999999995,2,8,120.66000000000001,7,3.934195286914366e-08
Z107296100,O=C1C(F)=CN(C(=O)N1CC2=NN=C(O2)C=3C=CC(Br)=CC3)C4CCCO4,,437.22500000000014,2.3188999999999993,0,8,92.15,4,1.3064806636997811e-05
Z107297130,O=C1C(F)=CN(C(=O)N1CC=2C=CC=3C=CC=CC3N2)C4CCCO4,,341.34200000000016,2.0545999999999998,0,6,66.12,3,0.0004631816321860967
Z135402312,O=C(CN1C=CC(=O)NC1=O)NC=2C=CC=CC2,,245.238,0.17529999999999918,2,4,83.96000000000001,3,0.021228199755479685
Z94556008,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC=3C=CC=CC3,,333.319,1.0967999999999998,1,6,82.33,4,0.000344602378122855
Z278136686,COC=1C=CC(C)=CC1C(C)NC(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3,,405.4260000000002,1.6525199999999998,1,7,91.55999999999999,6,1.9490491748803795e-06
Z282038648,CC(NC(=O)CN1C(=O)C(F)=CN(C1=O)C2CCCO2)C3=CC=CO3,,351.33400000000006,0.9284999999999994,1,7,95.47,5,5.440945556235301e-05
Z286114864,CS(=O)(=O)N1CCN(CC1)C(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3,,404.4200000000002,-1.4380999999999962,0,8,110.92,4,0.0034666629969662545
Z229664396,N#CC=1C=CC=C(C1)CN2C(=O)C(F)=CN(C2=O)C3CCCO3,,315.3040000000001,1.37808,0,6,77.02,3,0.0014240796495806555
Z356370146,COCCN1C(=O)C(C#N)=CN(C1=O)C2CC2,,235.24299999999997,-0.13702000000000036,0,6,77.02,4,0.0054602522843981115
Z94560748,CC=1C=CC=C(NC(=O)CNC(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)C1C,,418.42500000000024,0.829839999999999,2,7,111.42999999999999,6,4.875323347185829e-06
Z94558269,O=C1C(F)=CN(C(=O)N1CC2=NC=3C=CC=CC3S2)C4CCCO4,,347.37100000000015,2.1160999999999994,0,7,66.12,3,0.00039557638642721013
Z381624082,CN1C=C(C(=O)NC(C2CC2)C3CC3)C(=O)NC1=O,,263.29699999999997,-0.007999999999999285,2,4,83.96000000000001,4,0.004181041813074341
Z221234574,CCCC(C)NC(=O)CN1C=CC(=O)NC1=O,,239.275,-0.1585999999999998,2,4,83.96000000000001,5,0.0012121331394355443
Z756475348,O=C1NC(=O)N(C=C1F)[C@H]2C[C@H](O)[C@@H](CO)O2,,246.194,-1.6836000000000009,3,6,104.55000000000001,2,1.5005230271220513
Z666560644,CCN(CC)C=1C=CC(=CN1)CN2C=C(C#N)C(=O)NC2=O,,299.334,0.6977799999999998,1,6,94.78,5,0.00013740541533361153
Z666563062,CC=1C=CC(=NC1)NCCCN2C=C(C#N)C(=O)NC2=O,,285.307,0.6139,2,6,103.57,5,0.0001863082245519276
Z144591824,O=C(CN1C=CC(=O)NC1=O)NC2CCCC2,,237.25899999999993,-0.40459999999999985,2,4,83.96000000000001,3,0.0533770902795315
Z961006098,CCCC(C)(C)NC(=O)CN1C=CC(=O)NC1=O,,253.302,0.23149999999999993,2,4,83.96000000000001,5,0.0005964323880052017
Z94556813,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,,469.31300000000005,3.134400000000001,1,6,82.33,4,3.623013767512598e-06
Z94557424,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)C=3C=CC(Br)=CC3,,397.2,2.1034999999999995,0,6,70.3,4,3.884760416102041e-05
Z94560942,COCC(C)N1C(C)=CC(C(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)=C1C,,407.44200000000023,1.9667399999999997,0,8,84.46,7,2.0802675519040933e-07
Z383222594,CN1C(=O)C=CN(CC(=O)NCC(F)(F)F)C1=O,,265.191,-0.7745000000000004,1,5,73.1,3,0.06834544585267105
Z56777085,CC(=O)OCC1OC(C(OC(C)=O)C1OC(C)=O)N2C(Br)=NC=3C(N)=NC=NC32,,472.2520000000001,0.4949,1,12,157.75,5,1.0325816569200974e-05
Z56780075,C1=NC=2C(=NC=NC2N1C3CCCCO3)NCC=4C=CC=CC4,,309.37299999999993,3.137500000000001,1,6,64.86,4,2.9688264371121282e-05
Z107295544,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NCC3=CC=C4OCOC4=C3,,391.3550000000002,0.5032000000000005,1,8,100.79,5,5.894050964731742e-05
Z94559538,CC1=CC(C(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)=C(C)N1CC4=CC=CO4,,415.4210000000002,2.40064,0,8,88.36999999999999,6,5.251157528835708e-07
Z2760969008,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4C[C@H](F)C[C@H]4C(N)=O,,364.38100000000014,-0.23169999999999902,2,8,119.38999999999999,4,0.0011588427908716592
Z2760944633,CCC(CC)CN(CCC#N)C=1N=CN=C2C1N=CN2CC(O)C3CCCO3,,386.5000000000002,2.5224800000000007,1,8,100.09,10,6.716563085914444e-10
Z2760943690,COCCN(CCC#N)C=1N=CN=C2C1N=CN2CC3(O)CCOC3C,,360.41800000000023,0.7326799999999996,1,9,109.32000000000002,8,3.2412047924857824e-07
Z2760972409,CC1CC1N2CCN(CC(C)C2)C=3N=CN=C4C3N=CN4CC5(O)CCOCC5,,400.52700000000027,1.5342999999999989,1,8,79.54,4,8.740079795961493e-05
Z3141238105,CC(C)N1C=C(CNC(=O)N2CCOC[C@H]2C)C(=O)NC1=O,,310.354,0.04780000000000101,2,5,96.43,3,0.01073911633807115
Z2760947107,CCN(C=1N=CN=C2C1N=CN2CC(CO)C3CCOC3)C(C)CS(C)(=O)=O,,411.52800000000025,0.7306999999999999,1,9,110.44,9,3.205861747894089e-08
Z2760963320,COCC1CN(CC(C)O1)C=2N=CN=C3C2N=CN3CC4(CO)CCOCC4,,391.4720000000003,0.8554999999999993,1,9,94.76000000000002,6,6.98311677580326e-06
Z2760974081,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4C5CCC4C(CO)C5,,359.4300000000002,0.7157999999999995,2,8,96.53,4,0.0004256124494580044
Z382731684,CCN(CC)C(=O)N1CCN(CC2=CC(=O)N(C)C(=O)N2C)CC1,,337.4240000000001,-0.33659999999999757,0,6,70.79000000000002,4,0.002651338446456981
Z1544608062,CC1=CN(C(=O)N(CC(=O)N2CCC=3C=C(C=CC32)[N+]([O-])=O)C1=O)C4CC(O)C(CO)O4,,446.4160000000002,-0.5433799999999993,2,10,157.14,5,7.472225190604779e-05
